(152.33,275.37),
(152.00,275.41),
(151.67,275.44),
(151.33,275.45),
(151.00,275.46),
(150.67,275.47),
(150.33,275.48),
(150.00,275.48),
(149.67,275.47),
(149.33,275.47),
(149.00,275.46),
(148.67,275.44),
(148.33,275.42),
(148.00,275.39),
(147.67,275.35),
(147.49,275.33),
(147.33,275.33),
(147.00,275.32),
(146.67,275.31),
(146.33,275.29),
(146.00,275.27),
(145.67,275.26),
(145.33,275.24),
(145.00,275.22),
(144.67,275.20),
(144.33,275.17),
(144.00,275.13),
(143.67,275.07),
(143.40,275.00),
(143.33,274.99),
(143.00,274.92),
(142.67,274.86),
(142.33,274.80),
(142.00,274.75),
(141.67,274.69),
(141.54,274.67),
(141.33,274.64),
(141.00,274.59),
(140.67,274.52),
(140.33,274.41),
(140.20,274.33),
(140.00,274.27),
(139.67,274.21),
(139.33,274.16),
(139.00,274.11),
(138.67,274.03),
(138.56,274.00),
(138.33,273.93),
(138.00,273.81),
(137.69,273.67),
(137.67,273.66),
(137.33,273.58),
(137.00,273.51),
(136.67,273.45),
(136.34,273.33),
(136.33,273.33),
(136.00,273.17),
(135.67,273.04),
(135.58,273.00),
(135.33,272.94),
(135.00,272.87),
(134.67,272.76),
(134.49,272.67),
(134.33,272.60),
(134.00,272.47),
(133.67,272.36),
(133.59,272.33),
(133.33,272.26),
(133.00,272.09),
(132.88,272.00),
(132.67,271.91),
(132.33,271.82),
(132.00,271.67),
(132.00,271.67),
(131.67,271.51),
(131.38,271.33),
(131.33,271.31),
(131.00,271.21),
(130.67,271.07),
(130.55,271.00),
(130.33,270.89),
(130.00,270.71),
(129.91,270.67),
(129.67,270.59),
(129.33,270.45),
(129.17,270.33),
(129.00,270.23),
(128.67,270.07),
(128.51,270.00),
(128.33,269.93),
(128.00,269.71),
(127.96,269.67),
(127.67,269.52),
(127.33,269.37),
(127.28,269.33),
(127.00,269.17),
(126.79,269.00),
(126.67,268.93),
(126.33,268.79),
(126.15,268.67),
(126.00,268.57),
(125.67,268.36),
(125.63,268.33),
(125.33,268.20),
(125.05,268.00),
(125.00,267.96),
(124.67,267.75),
(124.52,267.67),
(124.33,267.57),
(124.05,267.33),
(124.00,267.30),
(123.67,267.14),
(123.47,267.00),
(123.33,266.89),
(123.06,266.67),
(123.00,266.63),
(122.67,266.47),
(122.48,266.33),
(122.33,266.21),
(122.05,266.00),
(122.00,265.96),
(121.67,265.72),
(121.61,265.67),
(121.33,265.48),
(121.11,265.33),
(121.00,265.26),
(120.69,265.00),
(120.67,264.98),
(120.33,264.78),
(120.20,264.67),
(120.00,264.48),
(119.84,264.33),
(119.67,264.22),
(119.38,264.00),
(119.33,263.96),
(119.00,263.69),
(118.97,263.67),
(118.67,263.47),
(118.52,263.33),
